document_id,district,file_name,source_path,pdf_sha256,text_path,text_sha256,pdf_pages,text_characters,text_status
katy_independent_school_district__katy_14_15_employee_handbook__72f45097,Katy Independent School District,Katy_14-15_employee_handbook.pdf,raw/Katy Independent School District/Katy_14-15_employee_handbook.pdf,08428c00192b85f5697cef11dd28f39a910df6eda8ccd263627f88bdc9b4fb54,cache/extracted_text/katy_independent_school_district__katy_14_15_employee_handbook__72f45097.txt,67f2833563a20583e1f817f206264ff608be34cbd0aa055573bbc9e018030d97,73,257016,usable
long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__a648bdc2,Long Beach Unified School District,2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,raw/Long Beach Unified School District/2018-2019-TALB-NEGOTIATED-CONTRACT-K-12.pdf,4921fe2681765607252458f70db5893c6f176c1931de6c43d9ead81865fa26e8,cache/extracted_text/long_beach_unified_school_district__2018_2019_talb_negotiated_contract_k_12__a648bdc2.txt,0a9c9c079eeb2fcba1c6d3363beae879bf5bc4007bbd414fc267f5d9bd71d336,118,325805,usable
los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__e7bd9df5,Los Angeles Unified School District,Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,raw/Los Angeles Unified School District/Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf,9955bb7e5a006f2cfe57f793d7dc5dab0b861d32dc491e165db5e5bd25fb1818,cache/extracted_text/los_angeles_unified_school_district__final_2014_2017_utla_collective_bargaining_agreement__e7bd9df5.txt,fec379d155f0fa337e8b25752417a6dc640b27acb13ceb1ebe94ff3f80a2dead,426,1568162,usable
manchester_school_district__83__de5d62c9,Manchester School District,83.pdf,raw/Manchester School District/83.pdf,b3aaebb63cd03c83788f190cba8a4b7f699bd5b685ebe6cc25e82474a436fd41,cache/extracted_text/manchester_school_district__83__de5d62c9.txt,577a2b9803e7cc1f1ce10f11c7fb145d1f1c8dc0de9896c506521f62660e8278,54,150930,usable
miami_dade_county_public_schools__utd_2017_2020_agreement__31b6dfc5,Miami–Dade County Public Schools,UTD_2017-2020_Agreement.pdf,raw/Miami–Dade County Public Schools/UTD_2017-2020_Agreement.pdf,4f17ee5329715a05f506e5922b4d8018ea29485befa56177a64a8f154440c263,cache/extracted_text/miami_dade_county_public_schools__utd_2017_2020_agreement__31b6dfc5.txt,18b49586571d7d8a4787b607684440c05fbeabda667a39e0f53a1481d2e68821,265,747891,usable
milwaukee_public_schools__48__86bae233,Milwaukee Public Schools,48.pdf,raw/Milwaukee Public Schools/48.pdf,36c5b232fc1c205e45d4529de568135f16385c701f5348e52ab88113b2dfec37,cache/extracted_text/milwaukee_public_schools__48__86bae233.txt,0e93a4e8185a553983f830e0fec77415569bba5355052a3aafcedd8f693e382a,272,697133,usable
montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__fc485a46,Montgomery County Public Schools,MCEA-Contract-FY15-FY17-3-15-14.pdf,raw/Montgomery County Public Schools/MCEA-Contract-FY15-FY17-3-15-14.pdf,a0924ff2adfa57e53c460a5992e6139b1248e831e5b31bc1807dbc6f8c6060e7,cache/extracted_text/montgomery_county_public_schools__mcea_contract_fy15_fy17_3_15_14__fc485a46.txt,5038092aecd7a5b430c71ccd6bafc2229f169acc05cf18aaff56ced6f11ee531,172,509275,usable
new_york_city_department_of_education__nyc_19_22_cba__a2c3d9e5,New York City Department of Education,NYC_19-22_CBA.pdf,raw/New York City Department of Education/NYC_19-22_CBA.pdf,0b7a4ba1d218dcaa7b757ca5d2535c6503047d65c181a3f2d619cef5ca3aabe5,cache/extracted_text/new_york_city_department_of_education__nyc_19_22_cba__a2c3d9e5.txt,89f711cd522694f65e514528053ba8b43ed8e95baeb2aa22932abb728eea4423,63,173299,usable
oakland_unified_school_district__2015_16_ousd_oea_tgds_mou__f5ad51a6,Oakland Unified School District,2015-16_OUSD-OEA_TGDS_MOU.pdf,raw/Oakland Unified School District/2015-16_OUSD-OEA_TGDS_MOU.pdf,96e9e7e29b21b8b0de5ce2a905dd8c7653b0009f3128461fb1857ee8132d1681,cache/extracted_text/oakland_unified_school_district__2015_16_ousd_oea_tgds_mou__f5ad51a6.txt,cf97e1134286a705bf87b6d6e064523e221a7423946bf7c4e5bba45fcd90383f,4,8484,usable
orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__08482c38,Orange County Public Schools,Orange_Contract_23-24_edition_of_21-24_CBA.pdf,raw/Orange County Public Schools/Orange_Contract_23-24_edition_of_21-24_CBA.pdf,70a7dc53ca9eadc264d5ea11b6544ec30b0a00bf395d56447ecd3633699d702a,cache/extracted_text/orange_county_public_schools__orange_contract_23_24_edition_of_21_24_cba__08482c38.txt,4140401ec9837425df679ce584dc09a3dbadaffe1f9be008c62849c01f2ce4e3,150,377882,usable
pittsburgh_public_schools__pittsburgh_10_15__bdfabcd4,Pittsburgh Public Schools,Pittsburgh_10-15.pdf,raw/Pittsburgh Public Schools/Pittsburgh_10-15.pdf,280c5efa2aafcfff8a3ff85a06837a0f905cae7e806cd9b6a525c78bfed8ee4c,cache/extracted_text/pittsburgh_public_schools__pittsburgh_10_15__bdfabcd4.txt,9a8d345595a55b4ab64411633705270aac5c7e359efa5c07d92b38968881e18b,34,106791,usable
portland_public_schools_me__pea_contract_2019_2022_teachers__33b55bd3,"Portland Public Schools, ME",PEA_Contract_2019-2022_(Teachers).pdf,"raw/Portland Public Schools, ME/PEA_Contract_2019-2022_(Teachers).pdf",5e1d6e2bfc290e18ceb1e91215cd97ecd84c6e7d9ed169df54124582069fb838,cache/extracted_text/portland_public_schools_me__pea_contract_2019_2022_teachers__33b55bd3.txt,b4b30fc9965247bbe444e6fddf8a6c6d701273c6f30b02f32a25f7c89b799547,77,240786,usable
prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__78d9202b,Prince Georges County Public Schools,Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,raw/Prince Georges County Public Schools/Negotiated-Agreement-2017-2019-05_04_20128-Update-1.pdf,a2ca75b8cc394563185e81e7a00f2aa231b15a5a255e7f97d54932c33d10d490,cache/extracted_text/prince_georges_county_public_schools__negotiated_agreement_2017_2019_05_04_20128_update_1__78d9202b.txt,e358e07209d3eada6e17a6669f31e85bf005f6f9438dd4bb6e1c6e558fcdd1ff,39,273645,usable
providence_public_school_district__91__9ff4b251,Providence Public School District,91.pdf,raw/Providence Public School District/91.pdf,6cf79f2a77e6a92a781503260247822bc0c7ad4099c0c4553bbd50e44000bd0a,cache/extracted_text/providence_public_school_district__91__9ff4b251.txt,c44c74ccd58264367ef86a337a77e59ea95b0f4481c941f7bfece94063a8f7c8,84,203715,usable
rochester_city_school_district__rochester_2006_09_rta_cba__d36a0d48,Rochester City School District,Rochester_2006_09_RTA_CBA.pdf,raw/Rochester City School District/Rochester_2006_09_RTA_CBA.pdf,06cb92ab8cf5b49912091374e16f53241b82c2a5841f24c7a8e3fb41a9fab6b4,cache/extracted_text/rochester_city_school_district__rochester_2006_09_rta_cba__d36a0d48.txt,dbd0028fc4c82a8bc54b42292d5acbe103c5352993302710694124f0a67c3a81,171,401725,usable
sacramento_city_unified_school_district__2023_2025_tentative_agreement__5669c9ea,Sacramento City Unified School District,2023-2025_Tentative_Agreement.pdf,raw/Sacramento City Unified School District/2023-2025_Tentative_Agreement.pdf,1f9a3b1024c27b551ab6bb08299720bf8fb9deb0e27d7d724c4fe92e50f2630e,cache/extracted_text/sacramento_city_unified_school_district__2023_2025_tentative_agreement__5669c9ea.txt,46559d320a5a2feb5b705c2990f0e33be977a40c3146f3e125df4eab53680283,47,120489,usable
san_antonio_independent_school_district__92__e588896c,San Antonio Independent School District,92.pdf,raw/San Antonio Independent School District/92.pdf,7117fb0ee66824e4e7921f4eed8d5c8bd7aa2d0712e3b0e0104f7fac70cb9dff,cache/extracted_text/san_antonio_independent_school_district__92__e588896c.txt,eb5deafb9bbf8cbd9a95526c6eba73c01dfab916e9e432dd2c8c83df2ac79fa9,210,570178,usable
san_bernardino_city_unified_school_district__2016_sbta_sbusd_tentative_agreement_ratified_june_3_201__f8304b2c,San Bernardino City Unified School District,2016_SBTA-SBUSD_Tentative_Agreement__Ratified_June_3_2016.pdf,raw/San Bernardino City Unified School District/2016_SBTA-SBUSD_Tentative_Agreement__Ratified_June_3_2016.pdf,1f2e511fa4101bbf1635b8a635bf194b7d6b56ff94d6d3174cc537be9c3ecaff,cache/extracted_text/san_bernardino_city_unified_school_district__2016_sbta_sbusd_tentative_agreement_ratified_june_3_201__f8304b2c.txt,78125732362e1190aaf6a0f40fca30a18e9633a2cf7a1ec5b0f96d7fe6077635,8,17878,usable
school_district_of_lee_county__102_07__9b0c37d4,School District of Lee County,102-07.pdf,raw/School District of Lee County/102-07.pdf,b17a4e92b09f63a371185316f771d82cb893ca2c879df062c3c76ab236d99780,cache/extracted_text/school_district_of_lee_county__102_07__9b0c37d4.txt,fcefc27a6ef67f7328c24d8d17e98bad57a3450db34557c8d0970e050812495c,83,237884,usable
school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__8bdd5343,School District of Palm Beach County,Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,raw/School District of Palm Beach County/Palm_Beach_CTA-July-2017-June-2020-CBA-Successor.pdf,adc0753044e7bc90ed65ce15b83c2e187973400828be396d3486ab9f5140772f,cache/extracted_text/school_district_of_palm_beach_county__palm_beach_cta_july_2017_june_2020_cba_successor__8bdd5343.txt,a64cfcce32fb7e69b99ffb11ecde2e30a3f108d264ab6620e6eb99f42c291b54,192,461561,usable
school_district_of_philadelphia__sd_of_philadelphia_2021_2024__2634dd8c,School District of Philadelphia,SD_of_Philadelphia_2021-2024.pdf,raw/School District of Philadelphia/SD_of_Philadelphia_2021-2024.pdf,31662897a9a93371a70d2ac7f5b2162ccc9082d827cbee6b22b63676092095d7,cache/extracted_text/school_district_of_philadelphia__sd_of_philadelphia_2021_2024__2634dd8c.txt,c0501af2cd5327b69f71109333b43982a75fdd1d1afb00eccf662320ed21e2e2,193,700161,usable
seattle_public_schools__seattle_final_cba_2018_2019__58d412cc,Seattle Public Schools,Seattle_final_CBA_2018-2019.pdf,raw/Seattle Public Schools/Seattle_final_CBA_2018-2019.pdf,ef7993204a1ab660b651e17daf8db3c61bcfaf607a28f556df3299b42c60e760,cache/extracted_text/seattle_public_schools__seattle_final_cba_2018_2019__58d412cc.txt,90fccb1630786eb93ab1fd35fb639a430a7920dcec21dcff6757c63b5890f32d,212,695166,usable
winston_salem_forsyth_county_schools__winsto_salem_2015_16_employee_handbook__482ba16e,Winston–Salem_Forsyth County Schools,Winsto-Salem_2015-16_Employee_Handbook.pdf,raw/Winston–Salem_Forsyth County Schools/Winsto-Salem_2015-16_Employee_Handbook.pdf,57e47e3b32a1f0a0d92d7545b0c0f2fe9475690e9c934531aa31a71fed6c9563,cache/extracted_text/winston_salem_forsyth_county_schools__winsto_salem_2015_16_employee_handbook__482ba16e.txt,ddae7ed2124c4d412b1d63e5c4becfa55ec1b19a400d2233df4a943d2bc5a04d,41,355708,usable
