# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — 2014-2015 PREPARATION SALARY (T) TABLE (4%) (2014-2015)
"# population: employees holding regular credentials (i.e., non-emergency, non-intern) and a Bachelor's Degree, or possession of certain vocational or industrial arts credentials | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,1,2,3,4,5,6,7,8,9,10
23 - A Basis (Monthly),5128.69,5182.66,5191.05,5367.37,5552.07,5767.96,5989.86,6161.38,6341.30,6722.70
24 - C Basis,48587,48666,50319,52051,54075,56189,58348,60023,62081,66095
24 - C Basis (Monthly),4048.95,4055.51,4193.26,4337.56,4506.23,4682.39,4862.30,5001.92,5173.40,5507.92
24 - B Basis (+ 56 points),52636,52722,54512,56388,58581,60871,63210,65025,67254,71603
24 - B Basis (+ 56 points) (Monthly),4386.37,4393.47,4542.69,4699.02,4881.75,5072.58,5267.49,5418.74,5604.52,5966.92
24 - A Basis,62192,62293,64408,66625,69216,71922,74685,76829,79463,84602
24 - A Basis (Monthly),5182.66,5191.05,5367.37,5552.07,5767.96,5993.46,6223.74,6402.45,6621.95,7050.14
25 - C Basis,48666,50319,51758,54727,56852,59078,60608,62486,64914,69232
25 - C Basis (Monthly),4055.51,4193.26,4313.19,4560.58,4737.68,4923.20,5050.65,5207.13,5409.53,5769.36
25 - B Basis (+ 70 points),52722,54512,56072,59287,61590,64002,65658,67693,70324,75002
25 - B Basis (+ 70 points) (Monthly),4393.47,4542.69,4672.64,4940.62,5132.47,5333.47,5471.53,5641.05,5860.33,6250.13
25 - A Basis,62293,64408,66251,70050,72771,75620,77578,79982,83090,88617
25 - A Basis (Monthly),5191.05,5367.37,5520.88,5837.54,6064.23,6301.70,6464.83,6665.13,6924.20,7384.78
26 - C Basis,50544,52006,53524,56908,59124,61440,62980,65173,67759,72302
26 - C Basis (Monthly),4212.00,4333.82,4460.31,4742.36,4926.96,5119.98,5248.36,5431.09,5646.61,6025.17
26 - B Basis (+ 84 points),54756,56340,57984,61651,64050,66560,68229,70604,73406,78327
26 - B Basis (+ 84 points) (Monthly),4563.00,4694.96,4832.01,5137.56,5337.53,5546.65,5685.73,5883.68,6117.16,6527.27
26 - A Basis,64696,66567,68510,72843,75678,78643,80615,83421,86732,92547
26 - A Basis (Monthly),5391.35,5547.28,5709.19,6070.22,6306.50,6553.58,6717.90,6951.79,7227.66,7712.21
27 - C Basis (+ 98 points),51668,54063,55638,59191,61496,63902,65432,67905,70593,75495
27 - C Basis (+ 98 points) (Monthly),4305.70,4505.29,4636.48,4932.57,5124.67,5325.20,5452.64,5658.79,5882.74,6291.28
27 - B Basis (+ 98 points),55974,58569,60274,64124,66621,69228,70884,73564,76476,81787
27 - B Basis (+ 98 points) (Monthly),4664.50,4880.73,5022.85,5343.63,5551.73,5768.97,5907.02,6130.34,6372.96,6815.57
27 - A Basis (+ 98 points),66135,69201,71216,75764,78715,81795,83752,86919,90359,96634
27 - A Basis (+ 98 points) (Monthly),5511.29,5766.77,5934.69,6313.69,6559.58,6816.25,6979.37,7243.25,7529.90,8052.84
(continued) - C Basis,75855,76181,76530,76855,,,,,,
(continued) - C Basis (Monthly),6321.28,6348.45,6377.50,6404.6,,,,,,
(continued) - B Basis (+ 98 points),82177,82530,82907,,,,,,,
(continued) - B Basis (+ 98 points) (Monthly),6848.05,6877.49,6908.95,,,,,,,
(continued) - A Basis (+ 98 points),97095,97512,97958,,,,,,,
(continued) - A Basis (+ 98 points) (Monthly),8091.23,8126.01,8163.20,,,,,,,
